ds,y
2020-04-30,54195
2020-05-01,63762
2020-05-02,71185
2020-05-03,76054
2020-05-04,55593
2020-05-05,55689
2020-05-06,56133
2020-05-07,54540
2020-05-08,68276
2020-05-09,73910
2020-05-10,83256
2020-05-11,61954
2020-05-12,57766
2020-05-13,53437
2020-05-14,53600
2020-05-15,56552
2020-05-16,60390
2020-05-17,74361
2020-05-18,54554
2020-05-19,54155
2020-05-20,52752
2020-05-21,66341
2020-05-22,57957
2020-05-23,58635
2020-05-24,77607
2020-05-25,54872
2020-05-26,53293
2020-05-27,52877
2020-05-28,55773
2020-05-29,58294
2020-05-30,69594
2020-05-31,90201
2020-06-01,65347
2020-06-02,56132
2020-06-03,49809
2020-06-04,55765
2020-06-05,56922
2020-06-06,58341
2020-06-07,81715
2020-06-08,57293
2020-06-09,54115
2020-06-10,51983
2020-06-11,53891
2020-06-12,53927
2020-06-13,62031
2020-06-14,81801
2020-06-15,58143
2020-06-16,52730
2020-06-17,50235
2020-06-18,49941
2020-06-19,47695
2020-06-20,55522
2020-06-21,69053
2020-06-22,53952
2020-06-23,50744
2020-06-24,49709
2020-06-25,49252
2020-06-26,45447
2020-06-27,48276
2020-06-28,63801
2020-06-29,53872
2020-06-30,52197
2020-07-01,53010
2020-07-02,49202
2020-07-03,47612
2020-07-04,46909
2020-07-05,64532
2020-07-06,48327
2020-07-07,45655
2020-07-08,44771
2020-07-09,43940
2020-07-10,36144
2020-07-11,39686
2020-07-12,54091
2020-07-13,38690
2020-07-14,41043
2020-07-15,40610
2020-07-16,39938
2020-07-17,33714
2020-07-18,37418
2020-07-19,51325
2020-07-20,34943
2020-07-21,37167
2020-07-22,36797
2020-07-23,36157
2020-07-24,30659
2020-07-25,34009
2020-07-26,46732
2020-07-27,46188
2020-07-28,45761
2020-07-29,44351
2020-07-30,41491
2020-07-31,36843
2020-08-01,39327
2020-08-02,52815
2020-08-03,53469
2020-08-04,52897
2020-08-05,51160
2020-08-06,47867
2020-08-07,42422
2020-08-08,45350
2020-08-09,60977
2020-08-10,45838
2020-08-11,48461
2020-08-12,45642
2020-08-13,41245
2020-08-14,38737
2020-08-15,40076
2020-08-16,53490
2020-08-17,44085
2020-08-18,46929
2020-08-19,43381
2020-08-20,40102
2020-08-21,37287
2020-08-22,37348
2020-08-23,50715
2020-08-24,37760
2020-08-25,41695
2020-08-26,39628
2020-08-27,36897
2020-08-28,34631
2020-08-29,35887
2020-08-30,50491
2020-08-31,63906
2020-09-01,56577
2020-09-02,57536
2020-09-03,54942
2020-09-04,51436
2020-09-05,57171
2020-09-06,83188
2020-09-07,54987
2020-09-08,52904
2020-09-09,54354
2020-09-10,53077
2020-09-11,48060
2020-09-12,55927
2020-09-13,78591
2020-09-14,38979
2020-09-15,37264
2020-09-16,38417
2020-09-17,43655
2020-09-18,39039
2020-09-19,44670
2020-09-20,66752
2020-09-21,46075
2020-09-22,42823
2020-09-23,44925
2020-09-24,44167
2020-09-25,39723
2020-09-26,45256
2020-09-27,64732
2020-09-28,53621
2020-09-29,56395
2020-09-30,66369
2020-10-01,73246
2020-10-02,68308
2020-10-03,88577
2020-10-04,93314
2020-10-05,54448
2020-10-06,56442
2020-10-07,57948
2020-10-08,58346
2020-10-09,67815
2020-10-10,78563
2020-10-11,78853
2020-10-12,46748
2020-10-13,48630
